timestamp,angle,torque,speed
1479426201159289947,0.0139626339078,0.3125,25.0833339691
1479426201179280257,0.0139626339078,0.3125,25.0944442749
1479426201199322660,0.0139626339078,0.25,25.1027774811
1479426201219396503,0.0122173046693,0.25,25.1138896942
1479426201239408730,0.0122173046693,0.125,25.125
1479426201259475856,0.0122173046693,0.125,25.1416664124
1479426201279493030,0.0122173046693,0.1875,25.1499996185
1479426201299570708,0.0122173046693,0.1875,25.1611118317
1479426201319556042,0.0122173046693,0.125,25.1749992371
1479426201339596249,0.0122173046693,0.125,25.1888885498
1479426201359632492,0.0122173046693,0.0625,25.2000007629
1479426201379639183,0.0104719754308,0.0625,25.2083339691
1479426201399688731,0.0104719754308,0.0,25.2250003815
1479426201419766503,0.00872664619237,0.125,25.2416667938
1479426201439775276,0.00872664619237,0.125,25.2527770996
1479426201459768742,0.00872664619237,0.125,25.2583332062
1479426201479830051,0.00872664619237,0.0,25.2749996185
1479426201499857110,0.00872664619237,0.0,25.2916660309
1479426201519924291,0.00872664619237,0.0,25.302778244
1479426201539954297,0.00872664619237,0.0,25.3055553436
1479426201559936399,0.00872664619237,0.0625,25.3166675568
1479426201580016006,0.00872664619237,0.0625,25.3250007629
1479426201600065038,0.00872664619237,0.0,25.3388881683
1479426201620051843,0.0069813169539,0.0,25.3416671753
1479426201640138331,0.0069813169539,0.0625,25.3527774811
1479426201660152673,0.0069813169539,0.0,25.3611106873
1479426201680183271,0.0069813169539,0.0,25.375
1479426201700206727,0.0069813169539,0.0,25.3777770996
1479426201720220237,0.0069813169539,0.0625,25.3861103058
1479426201740301692,0.0069813169539,-0.0625,25.3972225189
1479426201760326689,0.0069813169539,0.0,25.4138889313
1479426201780355703,0.0069813169539,0.0,25.4194450378
1479426201800379620,0.0069813169539,0.0625,25.4333324432
1479426201820392785,0.0069813169539,0.0,25.4444446564
1479426201840449706,0.0069813169539,0.0625,25.4583339691
1479426201860442458,0.0069813169539,0.0625,25.4611110687
1479426201880576663,0.0069813169539,0.125,25.4694442749
1479426201900574035,0.0069813169539,0.0,25.4777774811
1479426201920558769,0.0069813169539,0.0,25.4888896942
1479426201940594997,0.0069813169539,0.0625,25.4916667938
1479426201960649324,0.0069813169539,0.0625,25.4972229004
1479426201980718870,0.0069813169539,0.0,25.5055561066
1479426202000687634,0.0069813169539,0.125,25.5166664124
1479426202020727310,0.0069813169539,0.125,25.519443512
1479426202040770314,0.0069813169539,0.0625,25.5249996185
1479426202060822743,0.0069813169539,0.0,25.5388889313
1479426202080858690,0.0069813169539,0.0,25.5472221375
1479426202100858564,0.0069813169539,-0.0625,25.552778244
1479426202120920396,0.00523598771542,-0.0625,25.5611114502
1479426202140930605,0.00523598771542,-0.0625,25.572221756
1479426202160998189,0.00523598771542,0.0,25.5861110687
1479426202181018831,0.00523598771542,0.0,25.5944442749
1479426202201085971,0.00523598771542,0.0,25.6000003815
1479426202221109724,0.00523598771542,-0.125,25.6111106873
